Account & Bank,Highest Interest Rate (p.a.),Balance Applicable,How to Unlock Highest Rate,Key Features / Notes
Standard Chartered Bonus$aver Account (Standard Chartered),Up to 7.05%,"First S$100,000","Fulfil all 4 criteria: salary credit, eligible card spend, eligible insurance, eligible investments",Base 0.05%; bonus adds up; ideal for comprehensive banking users 
UOB One Account (UOB),Up to 3.40%,"First S$150,000","Spend min S$500/month + (credit salary ≥ S$1,600 via GIRO OR 3 GIRO debits)",Tiered monthly avg balance breaks into three bands; rewarding for salaried and card spenders 
UOB Stash Account (UOB),Up to 2.00%,"First S$100,000",Maintain or increase Monthly Average Balance month-on-month,No card spend or salary credit needed; passive savers benefit.
OCBC 360 Account (OCBC),Up to 5.45% (+ extra on high balance),"First S$100,000","Fulfil up to 6 criteria: salary credit, save more, spend, insure, invest, maintain high avg balance",Flexible bonuses; bonus grows with multiple categories 
Citi Wealth First Account (Citi),Up to 7.51%,"S$50,000-S$500,000 (tier depends on client tier)","Fulfil 5 categories: spend, invest, insure, borrow, grow balance",Tailored to high-net-worth clients with broader relationship products
Bank of China SmartSaver Account (Bank of China),Up to 4.60%,"First S$100,000 (+ extra up to S$1M)","Credit salary, spend with BOC cards, bill payments, invest eligible products",Tiered interest; extra rate on balances above S$100K with some conditions 
DBS Multiplier Account (DBS/POSB),Up to 4.10%,"First S$100,000","Credit salary + transact in multiple categories (spend, invest, insure, loans)",Flexible structure; younger users can earn bonus with card spend only
HSBC Everyday Global Account (EGA) (HSBC),Up to 3.00%,Promo on new funds,Register & deposit new funds; meet eligible transactions,Multi-currency account; promotional run by deposit deadline 
Citi Interest Booster Account (Citi),Up to 4.00%,"First S$50,000","Fulfil categories: save, spend, invest, insure, borrow (+ birthday bonus)",High base interest; broad behavioural criteria 
CIMB FastSaver Account (CIMB),Up to 2.50%,"First S$25,000",Credit salary/standing instruction + card spend (Visa Signature),Interest accrued daily and credited monthly 
Maybank SaveUp Account (Maybank),Up to 4.00%,"First S$75,000","Hold 3 or more eligible Maybank products (loan, insurance, investment etc.)",Tiered rates; higher bonus with more products 
SIF GoSavers Account (Singlife / SIF),Up to 1.30%,"Tiered up to S$500,000",No specific criteria,Tiered interest on balance bands; simple structure 
Trust Bank Savings Account (Trust Bank),Up to 2.50%,"Up to S$1,200,000","Meet any 3 bonus criteria: referrals, invest, ADB growth, salary credit, card spend","Daily interest, no lock-ins; broad bonus criteria "
GXS Savings Account (Grab / Singtel / GXS),Up to 1.38%,Depends on pocket type,Daily interest; Boost Pockets bonus on maturity,Goal-based pockets; no complex criteria 
Standard Chartered JumpStart Account (Standard Chartered),Up to 2.00%,"First S$50,000",Bonus when invest via SC platforms,For age 18–26; base interest with simple structure 
RHB High Yield Savings Plus Account (RHB),Up to 1.00%,"Tiered above S$100,000",Tiered interest structure,No criteria; higher rates on growing balance beyond S$100K 
